time,english,french
1051.84,over time and place and a huge part of,dans le temps et dans le lieu et une grande partie de
1054.799,our work is the,notre travail  est la
1056.64,extensive documentation at the variable,documentation complète au niveau variable
1059.36,level,NA
1061.28,one more slide,une diapositive de plus
1063.44,perfect thank you,parfaite merci
1065.6,so we uh empirically test variable,donc nous euh empiriquement te  univers variables
1068.559,universes so you understand like uh the,afin que vous compreniez comme euh le
1071.039,denominator that you're working with,dénominateur avec lequel vous travaillez
1072.72,with any variable variable you might be,avec n'importe quelle variable variable avec laquelle vous pourriez
1074.799,working with,travailler
1076.08,we also display the associated survey,nous affichons également les
1079.039,questions with the variables and we also,questions d'enquête associées avec les variables et nous
1082,note comparability issues over time,notons également des problèmes de comparabilité dans le temps
1085.28,or across,ou entre les
1086.4,country,NA
1087.6,surveys,enquêtes nationales que
1088.799,our website allows use it allows users,notre site Web permet  l'utiliser permet aux utilisateurs
1091.52,to download data in different data,de télécharger des données dans différents
1093.44,formats such as stata spss sas csv,formats de données tels que stata spss sas csv
1098.08,and fixed with which income in,et fixe avec quel revenu en
1100.24,combination with our iphone's r package,combinaison avec le package r de notre iphone
1102.32,that will be,qui sera
1104.72,demonstrated in the our breakout session,"démontré lors de notre session en petits groupes,"
1107.679,it makes it easy to download data into,il facilite le téléchargement de données dans
1109.84,our format,notre format
1111.2,and we also link the longitudinal pma,et nous  liez également les fichiers pma longitudinaux
1114.24,files for you,pour vous
1115.679,in the iphone's pma website,sur le site Web pma de l'iphone
1119.039,next slide please,diapositive suivante s'il vous plaît
1122,another feature of ipham's pma is our,une autre caractéristique du pma d'ipham est notre
1124.559,joint project the ibum's pma data,projet commun le centre d'analyse des données pma d'ibum
1127.2,analysis hub,NA
1128.64,which publishes a blog and there are new,qui publie un blog et il y a de nouveaux
1131.039,posts about twice a month,messages environ deux fois par mois
1133.039,the blog is an excellent resource for,le blog est une excellente ressource  pour l'
1134.96,using iphone's pma data,"utilisation des données pma de l'iphone,"
1137.12,they highlight publications that have,ils mettent en évidence les publications qui ont
1138.72,used the data,utilisé les données
1140.32,and they include our code to describe,et ils incluent notre code pour décrire  e
1142.64,how the analysis or data visualizations,comment l'analyse ou les visualisations de données
1145.2,were accomplished,"ont été réalisées,"
1146.64,the blog is currently working on a six,le blog travaille actuellement sur une
1148.32,part series about the longitudinal data,série en six parties sur les données longitudinales
1150.64,from pma,"de pma,"
1151.919,so be sure to visit it and stay tuned,alors assurez-vous de le visiter et de rester à l'écoute
1153.76,for future posts,pour les futurs messages
1155.76,uh next slide oh thank you um so that,euh diapositive suivante oh merci euh donc cela
1158.32,brings us to,nous amène
1160,the topic of today's workshop,"au  sujet de l'atelier d'aujourd'hui,"
1162.72,so we wanted to frame um the workshop,nous voulions donc encadrer l'atelier d'
1165.039,today in terms of a research question,aujourd'hui en termes d'une question de recherche à
1167.28,that you could answer with the new pma,laquelle vous pourriez répondre avec les nouvelles
1169.2,longitudinal data so did covid19 impact,"données longitudinales pma, de même covid19 a-t-il eu un impact sur l'"
1173.36,contraceptive use,utilisation des contraceptifs
1175.039,and that's a really broad question but,"et c'est une question très large, mais"
1176.72,we wanted to break down one approach you,nous voulions décomposer une approche vous
1180.08,could use,pourrait utiliser
1181.44,so first we wanted to show you how to,alors nous voulions d'abord vous montrer comment
1183.36,download the data,télécharger les données
1185.52,that you need to use to answer the,que vous devez utiliser pour répondre à la
1186.88,question,question
1188.16,and then we will show a simple data,", puis nous montrerons une"
1189.84,visualization that you you can easily do,visualisation de données simple que vous pouvez facilement faire
1191.919,yourself in either state rr,vous-même dans l'un ou l'autre état rr
1194.32,and then demonstrate,", puis démontrer"
1195.76,a simple logistic regression uh using,une simple régression logistique  euh en utilisant
1198.16,several possible measures of covid19,plusieurs mesures possibles des impacts du covid19
1201.039,impacts,NA
1202.08,and estimate the probability of a woman,et estimer la probabilité qu'une femme
1204.08,discontinuing or adopting a,arrête ou adopte une
1206.08,contraceptive method,méthode contraceptive
1207.84,between late 2019 and late 2020 which is,"entre fin 2019 et  fin 2020, qui sont"
1210.96,the two,les deux
1212.08,phases of survey data that we'll be,phases des données d'enquête que nous
1213.76,using today,utiliserons aujourd'hui
1216.08,for the purposes of today we chose,"aux fins d'aujourd'hui, nous avons choisi"
1219.039,income loss due to covet and a woman's,la perte de revenu due à la convoitise et l'
1222.48,personal concern over,inquiétude personnelle d'une femme à propos
1224.32,um getting infected with covid19 as two,de l'infection par le covid19 comme deux
1227.679,potential impacts of the pandemic that,impacts potentiels de la pandémie qui
1230.159,may have influenced a woman's demand for,pourraient avoir  influencé la demande de contraception d'une femme
1232.48,contraception,NA
1235.52,and the,et la
1236.72,next section of the webinar will be a,prochaine section du webinaire sera un
1238.88,tutorial of how to create a customized,didacticiel sur la façon de créer un
1241.36,data file on the ipams pma online,fichier de données personnalisé sur le
1243.6,dissemination system so we offer,"système de diffusion en ligne ipams pma, nous proposons donc"
1246.559,cross-sectional samples um like which,des échantillons transversaux euh comme ceux que
1248.64,you mentioned and phil mentioned um but,vous avez mentionnés et phil a mentionné euh mais
1251.039,you can also,vous  peut également
1252.64,access the longitudinal data in either,accéder aux données longitudinales sous forme
1255.2,long or wide form uh so next next slide,longue ou large euh alors prochaine diapositive suivante
1258.08,please,s'il vous plaît
1260.72,and one more one we're done perfect um,et une de plus nous avons terminé parfait euh
1263.44,so,donc
1264.48,what i mean by long and wide form so,ce que je veux dire par forme longue et large donc d'
1266.799,first and then uh one more click perfect,abord et puis euh un clic de plus parfait
1270.24,um so,euh alors
1271.36,when i say long form i mean that um,"quand je  dire forme longue, je veux dire que euh,"
1274.88,we have the same person on multiple rows,"nous avons la même personne sur plusieurs lignes,"
1278.48,so the fq insty d is the female,donc le fq insty d est l'
1281.28,identifier that we are using to link the,identifiant féminin que nous utilisons pour lier les
1283.76,female records in the iphone's data so,"enregistrements féminins dans les données de l'iphone, donc"
1286.64,uh notice we see the same woman on face,euh remarquez que nous voyons e  La même femme sur le visage
1289.36,in phase one and phase two on different,"dans la phase un et la phase deux sur des lignes différentes,"
1291.44,rows so in the baseline sample she was,"donc dans l'échantillon de référence, elle avait"
1294,28,28 ans
1295.28,and one year later in late 2020 she was,"et un an plus tard à la fin de 2020, elle avait"
1297.679,29,29 ans
1298.96,and that is the the identifier variable,et c'est la variable d'identification qui
1301.12,is repeated uh next slide,est répétée euh la diapositive suivante
1305.039,and then perfect um and then wide form,", puis parfaite euh et puis  forme large"
1308.64,um each individual has her own row and,euh chaque individu a sa propre ligne et
1311.52,different variables to represent her,différentes variables pour représenter ses
1313.44,characteristics in each time period so,caractéristiques dans chaque période de temps donc
1316.559,um if you see like in phase one,euh si vous voyez comme dans la phase un
1319.76,her age would be contained in the,son âge serait contenu dans la
1321.2,variable age underscore one and her age,variable age underscore one et son âge
1323.919,would be cons contained in age,serait contre contenu dans age
1325.84,underscore two,underscore  deux
1327.36,um so it's not shown but if that female,euh donc ce n'est pas affiché mais si cet
1331.12,identifier was on this screen,"identifiant féminin était sur cet écran,"
1333.76,you would note that it was not repeated,vous remarquerez qu'il n'a pas été répété
1335.76,because there's only one line per woman,car il n'y a qu'une seule ligne par femme
1338.64,and one more click down,et un autre clic
1341.76,excellent so as you can see,excellent pour que vous puissiez voir que
1344.08,this woman uh was 21 in time one and she,cette femme euh avait 21 ans dans le temps un et  elle
1347.76,was not married,n'était pas mariée
1349.12,but by the uh but by the end or,mais à la euh mais à la fin ou
1352.4,by phase two she was married so this way,"à la phase deux, elle était mariée donc de cette façon"
1355.52,um you use,euh vous utilisez
1357.12,um you can see the change over time,euh vous pouvez voir le changement au fil du temps
1359.36,within the same row,dans la même rangée
1361.679,and with that,et avec ça
1363.039,i'm going to share my screen and,je vais partager mon écran et ma
1365.039,demonstrate,démo  nstrate
1366.4,how to create a data file,comment créer un fichier de données
1369.36,on the ipams pma website so laura i,sur le site Web ipams pma donc laura je
1372.159,think i'm going to try to take the,pense que je vais essayer de vous prendre le
1373.76,screen sharing from you,partage d'écran d'
1379.039,okay,accord
1380.159,excellent um so we'll start from the,excellent euh donc nous allons commencer à partir de la
1382.559,iphone's pma home page,page d'accueil pma de l'iphone
1385.52,and,et
1386.24,you you get access to the data,vous avez accès au
1388.4,dissemination system by going to select,système de diffusion de données en allant sélectionner des
1391.52,data up here or you can also go down to,données ici ou vous pouvez également descendre pour
1394,get data,obtenir des
1395.679,in order to access the data you must,données afin d'accéder aux données vous devez vous
1397.76,register for a free account with ipham's,inscrire pour un compte gratuit avec pma d'
1400.559,pma,ipham
1401.76,you'll need to describe your research,vous devrez décrire votre
1404,project and which countries you need,projet de recherche et les pays auxquels vous avez besoin d'
1406.159,access to,accéder  à
1407.6,if the described use is a non-commercial,si l'utilisation décrite est une utilisation non commerciale
1410.159,use and it's appropriately within the,et qu'elle s'inscrit de manière appropriée dans le
1412.64,scope of the pma data,"cadre des données pma,"
1414.799,i'll read through your application and,je lirai votre demande et
1416.88,approve your registration,"approuverai votre enregistrement,"
1420.24,all right,NA
1421.2,so,donc
1424.72,the first time you come to the iphone's,la première fois que vous
1426.64,pma,accéderez
1428,data dissemination system you'll be,"au système de diffusion de données pma de l'iphone, vous  être"
1429.52,greeted with this menu and um,accueilli avec ce menu et euh
1432.559,beyond the longitudinal and family,au-delà des données longitudinales et de
1434.88,planning data pma has collected,planification familiale pma a collecté de
1437.279,many different,nombreux
1438.96,survey types there's nutrition maternal,types d'enquêtes différents il y a la nutrition la santé maternelle du
1441.279,newborn health but the one we're going,nouveau-né mais celle sur laquelle nous allons
1443.039,to be focusing on today,nous concentrer aujourd'hui
1444.48,is person and family planning i'm going,est pe  rson et la planification familiale je
1447.279,to click that topic,vais cliquer sur ce sujet
1450.159,and the first thing that i want to do uh,et la première chose que je veux faire euh
1453.52,is select my samples in order to,est de sélectionner mes échantillons afin de
1456.799,filter the view for myself because there,filtrer la vue pour moi-même car il
1459.76,are,y a des
1460.48,thousands of variables but we want to,milliers de variables mais nous voulons
1462.96,just select the ones,simplement sélectionner celles
1465.52,that are contained within the samples,qui sont  contenus dans les échantillons
1467.919,that we're looking at today,que nous examinons aujourd'hui
1470.4,so you can access the cross-sectional,afin que vous puissiez accéder à la
1472.799,version of the data as the default,"version transversale des données par défaut,"
1475.2,but today we'll be looking at the,"mais aujourd'hui, nous examinerons la"
1476.96,longitudinal,longitudinale
1478.72,and you're going to hover over these,et vous allez survoler ces
1480.24,icons to remind yourself,icônes pour vous rappeler
1482.72,what's the differences between the long,ce qui est  les différences entre le long
1484.4,and wide and we also have a link to some,et le large et nous avons également un lien vers une
1486.559,extensive documentation about what the,documentation complète sur ce à quoi les
1489.44,files should look like when you download,fichiers devraient ressembler lorsque vous les téléchargez
1491.2,and either long or wide,et qu'ils soient longs ou larges
1493.2,but for today we're going to stick with,mais pour aujourd'hui nous allons nous en tenir au
1494.88,the wide format,format large
1497.52,and,et
1498.559,and for this,et pour cet
1499.76,workshop we're going to take a look at,atelier  nous allons jeter un œil aux
1501.36,burkina faso's longitudinal data and,données longitudinales du burkina faso et
1503.919,also kenya,aussi du kenya
1505.84,uh and lastly we're going to keep only,euh et enfin nous allons garder uniquement
1508.72,the female respondents that's the the,les femmes interrogées c'est la
1510.799,default but if you wanted to,valeur par défaut mais si vous vouliez
1513.44,perhaps calculate some information at,peut-être calculer des informations à
1515.44,the household level about the,le niveau du ménage concernant la
1517.36,composition of the household you could,"composition du ménage, vous pouvez"
1518.96,of course,bien sûr
1519.84,include household members within your,inclure les membres du ménage dans votre
1521.6,data extract,"extrait de données,"
1523.039,but for today for today we're just going,"mais pour aujourd'hui, nous allons simplement nous"
1524.559,to stick with the female respondents,en tenir aux répondantes d'
1529.679,okay,"accord,"
1531.2,so,alors
1532.32,now i'm going to select,maintenant je vais sélectionner
1535.279,my variables of interest,"mes variables d'intérêt,"
1537.679,so i'm just going to go,donc  je vais juste
1539.84,down through a few of our,passer en revue quelques-unes de nos
1542.96,relevant variables i like to start with,variables pertinentes j'aime commencer
1545.44,a couple technical variables i want to,par quelques variables techniques je veux
1548.32,have a variable that,avoir une variable qui
1550.32,tells us the result,nous indique le résultat
1552.08,of the female questionnaire like which,du questionnaire féminin comme celui
1554.24,he was describing about when there is,qu'il décrivait quand il y a
1557.44,follow-up um,suivi-  up euh
1559.76,or there if there's loss to follow-up,ou là s'il y a une perte de suivi
1561.6,and,et
1562.4,why that the woman may have not been,pourquoi la femme n'a peut-être pas été
1564.88,interviewed in the second round,interrogée au deuxième tour
1567.52,so i've selected,", j'ai donc sélectionné"
1569.2,the result,la
1571.6,variable,"variable de résultat,"
1572.88,i'm also going to select the panel,je vais également sélectionner le poids du panel
1576,weight,NA
1577.12,that phil mentioned so we're going to,"que phil a mentionné, donc nous sommes  vais"
1579.52,choose,choisir
1581.12,the longitudinal weight um and next i,le poids longitudinal euh et ensuite je
1584.96,want to take a look at a few control,veux jeter un coup d'œil à quelques
1587.6,variables,"variables de contrôle,"
1589.12,some pretty standard ones like the,certaines assez standard comme l'
1590.64,woman's age,"âge de la femme,"
1592.559,her education,son
1594.08,level,niveau d'éducation
1595.039,and then also her marital status,", puis aussi son état civil"
1598.88,and,et
1600.159,oh i also,oh je aussi
1602,forgot i wanted to also add oh,j'ai oublié que je voulais également ajouter oh les
1605.039,strata is pre-selected excellent,strates sont présélectionnées excellente
1607.679,um and then i also want to add in parody,euh et ensuite je veux aussi ajouter la parodie
1610.4,um as a as a control variable because,euh comme variable de contrôle parce
1613.6,that is definitely a factor in a woman's,que c'est certainement un facteur dans la
1616,demand for contraception,demande de contraception d'une femme d'
1618.799,all right,accord
1620.88,then,alors
1622.32,i will go to family planning and then,"j'irai à la famille  la planification, puis l'utilisation"
1625.12,current or recent family planning use so,"actuelle ou récente de la planification familiale, donc"
1627.2,our,notre
1628.24,dependent variable that we're going to,variable dépendante que nous
1630.08,be looking at is the variable cp or,allons examiner est la variable cp ou
1632.88,whether the woman is a contraceptive,si la femme est une
1635.12,user,utilisatrice de contraceptifs
1636.159,and as you as you may be noticing i'm,"et comme vous le remarquerez peut-être,"
1638.24,adding each of these variables to my,j'ajoute chacune de ces variables  à mon
1640.88,cart by,panier en
1642.32,clicking the plus sign and you'll,cliquant sur le signe plus et vous
1643.76,probably be noticing this data card much,remarquerez probablement cette carte de données un peu
1645.919,like an online shopping cart you're just,comme un panier d'achat en ligne vous
1648.48,filling up your cart with the only the,remplissez simplement votre panier avec les seules
1650.88,variables that you're interested in it's,variables qui vous intéressent cela
1652.799,going to keep your file nice and lean,va garder votre fichier agréable  et maigre
1655.039,and the best part is it's free from,et la meilleure partie est qu'il est exempt d'
1657.039,iphones,iphones d'
1659.039,okay let's see here i also want to grab,accord voyons ici je veux aussi
1661.84,a couple other things,saisir quelques autres choses
1663.44,like,comme
1665.36,the urban status,le statut
1667.279,urban rural status of the household,urbain le statut rural urbain du ménage
1670.799,and i also want to grab,et je veux aussi
1673.6,whether the woman was,savoir si la femme était
1676.159,a usual member of the household or not,un membre habituel  du ménage ou non
1678.159,and whether she had slept there the,et si elle y avait dormi la
1679.6,night before,"nuit précédente, de"
1680.88,so that we are finding the de facto,sorte que nous constatons que la population de facto
1682.799,population,NA
1684.96,also want to know,veut également savoir
1687.039,um maybe her household's wealth,euh peut-être le statut de richesse de son ménage
1690.799,status,NA
1692.64,and then lastly,et enfin
1695.039,we will get to our ex main explanatory,nous arriverons à nos ex principales
1697.52,variables so,variables explicatives donc
1699.12,with,avec
1700.24,these phase two samples that were,ces deux phases  des échantillons qui ont été
1702.159,conducted after covid restrictions,"effectués après l'apparition de restrictions covid,"
1705.2,occurred,NA
1706.399,they've,ils ont
1707.36,added a lot of questions to get a sense,ajouté beaucoup de questions pour avoir une idée
1710.08,of how did covid restrictions and covid,de la façon dont les restrictions covid et covid ont
1713.12,affect these women,affecté ces femmes
1714.799,and one great feature of our website is,et une grande fonctionnalité de notre site Web est
1717.039,that you can also just select all in a,que vous pouvez également simplement sélectionner tout dans un
1719.279,group um,groupe euh
1721.12,but one in particular that i wanted to,mais  un en particulier sur lequel je voulais
1723.84,focus on,me concentrer
1725.279,is the income loss,est la perte de revenu
1727.12,and this is also a brief demonstration,et c'est aussi une brève démonstration
1728.88,of how our website works so,"du fonctionnement de notre site Web, donc"
1732.159,if i wanted to know more about,si je voulais en savoir plus sur
1734.559,this variable income loss resulting from,cette perte de revenu variable résultant des
1736.96,cobia 19 restrictions i click on the,"restrictions de cobia 19, je clique sur le"
1739.279,variable name and this brings me to some,nom de la variable et ceci  m'amène à une
1742.399,documentation about the variable,documentation sur la variable
1744.799,in particular i want to,"en particulier, je veux"
1747.76,flag that the universe,signaler que l'univers
1750.559,is,NA
1751.36,there's a restriction on it so um,"est soumis à une restriction, donc"
1753.919,this variable was um,euh cette variable n'a été
1756.64,asked only of women whose household,demandée qu'à wom  fr dont le ménage a
1759.039,experienced a loss of income during the,subi une perte de revenu au cours des
1761.039,last 12 months,"12 derniers mois,"
1762.64,so if i go back over to the code section,"donc si je reviens à la section du code,"
1766.799,all the women who,toutes les femmes qui
1768.64,were not in universe for this question,n'étaient pas dans l'univers pour cette question
1771.279,um their households did not lose income,euh leurs ménages n'ont pas perdu de revenu
1774.08,um so,euh donc
1775.52,just because they don't have an um,juste parce qu'elles n'ont pas  un
1778.32,a no uh does not mean that so when they,euh non euh ne veut pas dire que donc quand ils
1781.36,have an niu that means their household,ont un niu cela signifie que leur ménage
1783.36,did not,n'a
1784.399,lose any income um and that's going to,perdu aucun revenu euh et ça va
1786.48,be key for the breakout section,être la clé pour la section en
1788.72,um and there's also the questionnaire,petits groupes euh et il y a aussi le texte du questionnaire que
1791.039,text i mentioned before um all of the,j'ai mentionné avant euh toute la
1794.159,documentation around this variable is,documentation  autour de cette variable
1796.32,all accessible within a few clicks,"est accessible en quelques clics, d'"
1799.6,okay and then i have,"accord, puis j'ai"
1801.52,one last,une dernière
1804.559,variable that i would like to add and,variable que je voudrais ajouter et
1807.2,that is our the one we discussed earlier,"c'est celle dont nous avons discuté plus tôt, à"
1809.44,is how concerned the woman was about,savoir à quel point la femme était préoccupée par l'
1811.919,getting infected,"infection,"
1814,i'm going to add that,je vais ajouter que
1816.52,[Music],[  Musique] d'
1817.919,okay,accord
1820.559,great so i'm going to view my cart,super donc je vais voir mon panier
1824.399,review the variables that i've selected,revoir les variables que j'ai sélectionnées
1828.64,and then i will go to create my data,et ensuite je vais créer mon
1830.72,extract,extrait de données
1832.24,so one thing i want to draw your,donc une chose sur laquelle je veux attirer votre
1833.6,attention to if you,attention si
1835.279,are going to go to the r breakout,vous allez à la r  évasion
1837.44,session um you're going to want to,s  ession euh vous allez vouloir
1840.64,create a fixed width,créer un
1842.799,file um,fichier à largeur fixe euh
1844.24,so i'm going to say this is the r,donc je vais dire que c'est la
1846.08,version for the,version r pour l'
1848.84,workshop and then i'm going to submit my,atelier et ensuite je vais soumettre mon
1852.88,extract,extrait
1857.44,excellent and then um,excellent et puis
1860.399,this is a handy feature that i use all,euh c'est une fonctionnalité pratique qui  j'utilise tout
1862.24,the time because of course i always,le temps parce que bien sûr j'oublie toujours
1864.72,forget to add just that one last,d'ajouter juste cette dernière
1866.32,variable that i needed you can take an,variable dont j'avais besoin vous pouvez prendre un
1868.399,existing extract you've created and,extrait existant que vous avez créé et le
1870.399,revise it,réviser
1872.64,so what i'll do if you are going to come,alors que ferais-je si vous allez venir
1875.12,to the stata version of the breakout,à la version stata  de la
1877.2,session,session en petits groupes que
1878.48,you want to go to change the data format,vous voulez aller pour changer le format des données
1880.72,and select,et sélectionner
1881.84,stata,stata à la
1882.96,instead,"place,"
1884.08,then i'm going to submit that,alors je vais soumettre cet
1889.6,excellent,excellent d'
1890.72,okay um so,"accord, donc"
1892.96,with that,"avec ça,"
1894.799,um,NA
1895.76,i think,je pense que
1897.44,um,NA
1899.36,we,NA
1901.2,can let's see laura i think i might just,"nous pouvons voir Laura, je pense que je pourrais"
1903.84,um,NA
1904.84,share the um presentation um i have it,partager la présentation.  euh je l'
1908.96,up here and i just have two more slides,ai ici et j'ai juste deux autres diapositives
1911.279,to go before we go to the breakout,à faire avant d'aller à la
1913.12,session,session en petits groupes
1915.12,um,euh
1917.44,so i just wanted to,donc je voulais juste
1922.08,do a quick recap so,faire un bref récapitulatif donc
1924.24,the main variables that we're looking at,les principales variables que nous examinons
1926.159,today are cp is our dependent um,aujourd'hui sont cp est notre dépendant euh
1929.679,and we're going that's what the woman,et  nous allons c'est ce que la
1931.84,was using a contraceptive method in the,femme utilisait une méthode contraceptive  d dans la
1934.159,phase that she was observed in,phase dans laquelle elle a été
1936.799,so it's going to,"observée, il y aura donc"
1938.64,have a wide format data file,"un fichier de données au format large,"
1942,so cp underscore 1 is going to be the,donc le soulignement cp 1 sera la
1944.88,variable,variable
1946,of whether or not she was using a method,indiquant si elle utilisait ou non une méthode
1947.84,when she was interviewed in late 2019,lorsqu'elle a été interviewée fin 2019
1950.72,and cp underscore two is going to be the,et le soulignement cp deux est  va être la
1953.519,variable indicating whether she was,variable indiquant si elle
1955.519,using a contraceptive method um in phase,utilisait une méthode contraceptive euh dans la phase
1958.88,two,deux
1960.24,and then uh the cv income loss that's,", puis euh la perte de revenu cv c'est-à-"
1962.96,whether the if the household had lost,dire si le ménage avait perdu un
1965.12,income whether it was due to covet um,revenu si c'était dû à la convoitise euh
1967.76,and then uh covert concern is a likert,et puis euh la préoccupation secrète est une
1970.24,scale about how concerned the woman was,échelle de likert sur  à quel point la femme craignait
1972.559,about getting infected with covet,d'être infectée par la convoitise
1975.679,and one thing i do want to take a minute,et une chose que je veux prendre une minute
1977.76,to note here is that,pour noter ici est que ce n'est
1980.64,just because a woman was not using,pas parce qu'une femme n'utilisait pas la
1984.399,family planning in phase 1 or phase 2,planification familiale en phase 1 ou en phase 2
1987.12,it does not mean that she didn't use a,qu'elle n'utilisait pas  une
1989.2,method some point in between and then,"méthode à un moment donné entre les deux, puis"
1991.6,stopped before she was interviewed again,s'est arrêtée avant qu'elle ne soit à nouveau interrogée
1994.559,and one great thing about these the,et une grande chose à propos de
1996.64,these data for,ces données pour
1998.159,um for the longitudinal samples is that,euh pour les échantillons longitudinaux est que
2001.279,pma also collected a,pma a également collecté un
2004.399,oh,oh
2005.6,thank you so much i didn't realize that,merci beaucoup je ne m'en étais pas rendu compte
2008.08,um you were still seeing the website,euh vous voyiez toujours le site Web
2010.88,um,euh
2011.919,great,super
2013.279,um,euh d'
2014.159,okay,accord
2014.96,so um,donc euh
2016.72,pma also collects a contraceptive,pma recueille également un
2019.2,calendar um we're not going to be using,calendrier contraceptif euh nous n'allons pas utiliser
2021.519,those data today,ces données aujourd'hui
2023.12,um but,euh mais
2024.96,that is something that's you want to,c'est quelque chose que vous voulez
2026.64,keep in mind that we're not,garder à l'esprit que nous n'incluons pas les
2029.36,including women who use for a short time,femmes  qui utilisent pendant une courte période
2031.919,and and stopped using before we,et et ont cessé d'utiliser avant de les
2034,interviewed them again,interroger à nouveau d'
2036.08,okay um so,accord euh donc
2038.159,with that,avec ça
2039.76,um,euh
2041.039,oh yes so for the breakout sessions in,oh oui donc pour les séances en
2044.399,rns data today we'll be using carp at,"petits groupes dans les données rns aujourd'hui, nous utiliserons la carpe du"
2046.799,all's uh recent paper contraceptive,tout euh dynamique contraceptive papier récente
2049.28,dynamics during covet 19 in sub-saharan,pendant la convoitise 19 en sous-marin  -Afrique saharienne
2052.399,africa uh longitudinal evidence from,euh preuves longitudinales du
2054.56,burkino and phosphino faso in kenya,burkino et du phosphino faso au kenya
2057.839,this will be our guiding framework for,ce sera notre cadre directeur pour
2059.839,today,aujourd'hui
2060.879,but the the main difference between this,mais la principale différence entre cet
2063.359,paper and what we'll be doing today is,article et ce que nous ferons aujourd'hui est
2065.599,that um the authors merged phase one,que euh les auteurs ont fusionné les
2068.159,data with a covid uh 19 phone survey,données de phase un avec un covid euh  19
2071.679,data from using like the same women from,données d'enquêtes téléphoniques utilisant les mêmes femmes de
2074.399,the baseline survey were interviewed in,l'enquête de référence ont été interrogées
2076.8,the summer,"cet été,"
2077.839,but in this workshop we're actually,"mais dans cet atelier, nous allons en fait"
2079.52,going to be using phase 1 and phase 2,utiliser les données des phases 1 et
2082.24,data,"2,"
2083.119,but you could absolutely download the,mais vous pouvez absolument  téléchargez les
2085.04,covid phone survey data separately,données de l'enquête téléphonique covid séparément
2087.599,and merge it to the data file that we,et fusionnez-les avec le fichier de données que nous
2089.76,just created and you would merge that on,venons de créer et vous fusionnerez cela sur
2092,the variable fqinst id that fema,la variable fqinst id cet identifiant fema d'
2094.48,identifier,NA
2097.359,okay great,accord super
2099.119,so,alors
2099.92,now i'm going to create,maintenant je vais créer
2103.119,breakout rooms so um you have the choice,des salles de sous-commission donc euh vous avez le choix
2106.24,of attending the r session with matt or,de  assister à la session r avec matt ou à
2108.96,the stata session with me,la session stata avec moi
2111.28,and if you do not choose a breakout room,et si vous ne choisissez pas de salle de sous-commission
2114.24,um you will be randomly assigned to one,"euh, vous serez assigné au hasard à une d'"
2120.72,okay,"accord d'accord,"
2122.4,all right,NA
2125.44,so i'll just take a quick moment to,donc je vais juste prendre un petit moment pour
2128.88,set up the breakout rooms,mettre en place les salles de sous-commission
2140.76,[Music],[Musique]
2146.24,okay oops,d'accord oups
2148.079,oh boy,oh mon garçon d'
2154,okay so,accord donc
2155.599,um excellent,euh excellent d'
2165.599,all right great thanks so everyone i,accord super merci donc tout le monde je
2167.04,will see you in the breakout sessions,vous verrai dans les séances en petits groupes
2436.4,so i'm going to use that workshop data,donc je vais utiliser ces données d'atelier
2440.72,excellent,excellent
2450.64,great,super
2451.52,so first things first um whenever i open,donc tout d'abord euh chaque fois que j'ouvre
2454.72,a data file i like to get a sense of the,un fichier de données j'aime obtenir un  sens du
2456.88,content of the file,contenu du fichier
2458.72,um so i'm going to,euh donc je vais
2460.72,do a cross tabulation of those um those,faire un tableau croisé de ces euh ces
2463.52,two,deux
2464.56,versions of this result,versions de cette
2466.4,variable,variable de résultat
2467.52,so i want to take a look at,donc je veux jeter un oeil à
2470.319,how many women completed both,combien de femmes ont rempli les deux
2472.88,questionnaires,questionnaires
2474.4,so the column,donc la colonne
2477.839,all of this metadata devin sort of,toutes ces métadonnées devi  n sorte d'
2479.839,introduce much easier,introduction beaucoup plus facile
2482.48,so you can download this this package,afin que vous puissiez télécharger ce package
2484.8,ipamsar from,ipamsar à partir de
2486.4,crayon just like you would any other,crayon comme vous le feriez pour tout autre
2488.56,major r package,package r majeur
2490.16,with install packages ipams are,avec des packages d'installation ipams sont
2494.16,and then,puis
2495.119,each session when you open,chaque session lorsque vous ouvrez
2497.119,or to work with an iphone's extract,"ou travaillez avec un extrait d'iphone,"
2498.56,you'll just need to load that library,vous aurez juste besoin de  chargez cette bibliothèque
2500.64,and that library comes with a function,et cette bibliothèque est livrée avec une fonction
2501.92,called read iphone's micro for microdata,appelée lire le micro de l'iphone pour les
2505.04,so we'll specify the ddi file and the,"microdonnées, nous allons donc spécifier le fichier ddi et le"
2508.079,data file uh there you'll have a,"fichier de données euh là, vous aurez un"
2510.16,different number here of course if it's,numéro différent ici bien sûr si c'est
2511.76,your first,votre premier
2513.119,uh your first data extract from iphones,euh votre premier extrait de données de  iphones
2515.68,it'll be number zero zero zero one and,ce sera le numéro zéro zéro zéro un et
2518,i've got 93 data files somehow already,"j'ai déjà 93 fichiers de données d'une manière ou d'une autre,"
2522.079,but um that's the only major difference,mais euh c'est la seule différence majeure
2524.319,that you need to change,"que vous devez changer,"
2526.64,we'll also be working with three other,nous travaillerons également avec trois autres
2530.319,packages in this session um the first,packages dans cette session euh le
2532.48,one is actually a suite of packages that,"premier est  en fait, une suite de packages que la"
2535.119,most our users are probably familiar,"plupart de nos utilisateurs connaissent probablement,"
