time,english,french
1150.88,with uh count count is from d d plier,avec euh count count vient de d d plier
1154,again another one of those tiny verse,encore une autre de ces minuscules
1155.6,functions so what we'll do here is we'll,"fonctions de verset donc ce que nous allons faire ici, c'est que nous"
1157.76,say okay i want you to take my data and,dirons d'accord je veux que vous preniez mes données et que vous les
1160.08,group it by country and then count the,"regroupiez par pays, puis que vous comptiez le"
1162.64,number of responses to this variable we,"nombre de réponses à cela  variable, nous avons"
1165.84,created fpstatus,créé fpstatus
1167.76,and then we use proptable um usually to,", puis nous utilisons proptable um généralement pour"
1170.88,create proportions for each each,créer des proportions pour chaque
1172.88,response so you notice here that the,"réponse, vous remarquez donc ici que les"
1174.799,proportions add up to one for each of,proportions totalisent une pour chacun
1177.2,the countries,des pays
1179.36,now i don't,"maintenant, je ne"
1180.559,find this particularly readable so i,"trouve pas cela particulièrement lisible, donc"
1182.08,always like to make a bar chart whenever,j'aime toujours faire un graphique à barres chaque fois que
1184.08,i can i'll make it ggplot2,"je le peux, je vais en faire ggplot2"
1186.88,another tidyburst package,un autre paquet tidyburst
1189.919,and here's what uh what a very simple,et voici à quoi ressemble un
1192.799,bar chart um,graphique à barres très simple euh
1194.48,looks like uh,NA
1196.32,we'll pass it to this ggplot function,nous le passerons à cette fonction ggplot
1199.6,where we basically tell it to map the,où nous lui disons essentiellement de mapper  la
1202.64,proportion on our our x-axis and the,proportion sur notre axe des x et les
1205.6,different categories of family planning,différentes catégories de
1208.4,status on the y-axis and fill is just,statut de planification familiale sur l'axe des y et le remplissage
1211.2,telling it to,lui disent simplement de
1213.2,also map that y-axis to the color that,mapper également cet axe des y à la couleur que
1215.76,we're filling we use g-on-bar,"nous remplissons, nous utilisons g-on-bar"
1218.559,to,pour
1219.76,draw bars,dessiner des barres
1221.28,and this this in particular is very,et ceci en particulier est très
1223.44,important um using the identity,important euh en utilisant la
1225.6,statistic,statistique d'identité
1226.72,basically tells ggplot to do no further,dit essentiellement à ggplot de ne plus faire de
1229.6,statistical manipulation of the data,manipulation statistique des données
1231.12,that we're passing to it instead you,"que nous lui transmettons à la place, vous"
1233.039,know we've already created our accounts,savez que nous avons déjà créé nos comptes
1235.12,and proportions so we wanted to use what,"et nos proportions, nous voulions donc  utilisez ce"
1236.96,we're giving it directly,que nous lui donnons directement
1239.76,uh why are there two,euh pourquoi y a-t-il bien deux
1242,bars well that comes from facet wrap and,barres qui viennent de l'enveloppement des facettes et
1244.88,we're saying we want to facet our data,nous disons que nous voulons facetter nos données
1247.2,by country,"par pays,"
1248.48,the rest of this is just basically bells,le reste n'est que des cloches
1250.88,and whistles we like to use theme,et des sifflets pour lesquels nous aimons utiliser le thème
1252.48,minimal for a nice clean looking plot,minimal  une belle apparence p  beaucoup
1254.96,i've gotten rid of the axis title and,je me suis débarrassé du titre de l'axe et de
1257.2,the legend since those are labeled,la légende car ceux-ci sont déjà étiquetés
1259.28,already,NA
1260.159,and,et
1260.96,the last thing is,la dernière chose est que
1263.28,you know very commonly you'll want to,vous savez très souvent que vous voudrez
1264.96,take those proportions and transform,prendre ces proportions et les
1266.48,them into percents uh there's a,transformer en pourcentages euh il y a un
1269.6,awesome package called scales that will,package génial appelé des échelles qui va
1272.799,just,juste
1273.679,do all that work for you and apply a,faites tout ce travail pour vous et appliquez un
1275.12,percent sign,"signe de pourcentage,"
1278.32,all right so that was the unweighted uh,donc c'était les
1281.039,sample statistics but now we want to do,"statistiques d'échantillon non pondérées, mais maintenant nous voulons faire"
1283.12,maybe a,peut-être une
1285.36,estimation of what's happening in the,estimation de ce qui se passe dans la
1286.72,population and for that we want to use,"population et pour cela, nous voulons utiliser"
1290.559,our survey weights,nos poids d'enquête
1292.159,specifically we'll be using,spécifiquement nous allons  utiliser le
1294.559,panel weight which phil mentioned it,poids du panneau que phil a mentionné qu'il
1297.2,adjusts for loss to follow up at phase,ajuste pour la perte de suivi à la phase
1300.32,two,"deux,"
1301.679,so again if you're a state user this,"donc encore une fois si vous êtes un utilisateur d'état,"
1303.6,this kind of workflow from the surveyor,ce type de flux de travail du
1305.919,package will probably be pretty familiar,"package d'arpenteur sera probablement assez familier,"
1308.559,we use a function called as survey,nous utilisons une fonction appelée comme
1310.32,design to specify elements of the survey,conception d'enquête pour spécifier  éléments de la conception de l'enquête
1312.96,design so we've got the weight here,", nous avons donc le poids ici,"
1315.44,then we've got uh identifiers for each,puis nous avons des identifiants pour chaque
1318.08,sample clustering uh that when we're,échantillon regroupant euh que lorsque nous
1320.48,using uh the enumeration area id from,utilisons euh l'identifiant de la zone de dénombrement de la première
1323.52,phase one you could use uh phase two as,"phase, vous pouvez utiliser  euh la phase deux"
1325.679,well um because,aussi euh parce que
1327.28,uh women had to stay in the same,euh les femmes devaient rester dans la même
1329.28,study area between phases in order to be,zone d'étude entre les phases afin d'être
1331.2,included both times so it doesn't matter,"incluses les deux fois, donc peu importe que"
1333.44,you can use one or two,vous puissiez utiliser une ou deux
1335.44,strata is,"strates, c'est"
1336.88,usually urban and rural strata so this,"généralement des strates urbaines et rurales, donc"
1339.12,is creating independent variance,cela crée indépendant
1340.64,estimates for for women sampled in each,estimations de la variance pour les femmes échantillonnées dans chaque
1343.6,stratum,strate
1346.64,very small effect on standard errors in,effet très faible sur les erreurs types dans
1348.559,this case we're going to be grouping by,"ce cas, nous allons regrouper par"
1350.48,country and and family planning status,pays et statut de planification familiale
1354.24,and then we're going to use the,", puis nous allons utiliser la"
1355.6,summarize function,fonction de synthèse
1357.2,to estimate a survey,pour estimer une enquête
1359.36,mean this also comes from the surveyor,signifie cela aussi  vient du package de l'arpenteur
1361.52,package and what we're doing here is,"et ce que nous faisons ici, c'est"
1363.2,we're saying hey we're estimating,"que nous disons hé, nous estimons les"
1365.2,proportions,proportions
1366.88,and we would like to adjust our,et nous aimerions ajuster nos
1369.12,confidence intervals,intervalles de confiance
1371.12,so that you don't get any values that,afin que vous n'obteniez aucune
1373.28,are below zero or above one hundred,valeur inférieure à zéro ou supérieure à cent
1375.2,percent basically,"pour cent  fondamentalement,"
1376.96,um so if you do that you'll get a table,"euh, donc si vous faites cela, vous obtiendrez un tableau"
1378.48,like this,"comme celui-ci,"
1379.6,i'm going to move along a bit quickly,je vais avancer un peu rapidement
1381.039,here because we've got about six minutes,"ici parce qu'il nous reste environ six minutes,"
1383.44,left,NA
1384.559,um,"euh,"
1385.52,but uh,"mais euh,"
1388.08,you saw that we get a coefficient,vous avez vu que nous obtenons une
1390.159,estimate and a confidence interval here,"estimation de coefficient et un int de confiance  erval ici,"
1392.4,i'm just using the same uh function that,j'utilise simplement la même fonction euh que
1394.799,we we saw before but with,"nous avons vue auparavant, mais avec"
1397.28,geom error bar to insert these error,la barre d'erreur geom pour insérer ces
1400.08,bars,barres d'erreur
1401.039,indicating the confidence interval,indiquant l'intervalle de confiance que
1403.52,i don't think i mentioned but this is a,"je ne pense pas avoir mentionné, mais il s'agit d'un"
1404.88,95 percent confidence interval by,intervalle de confiance de 95% par
1406.799,default and of course you can adjust,défaut et bien sûr  vous pouvez ajuster
1408.72,that as as needed,"cela au besoin,"
1412.4,all right so finally we'll uh spend the,donc finalement nous allons passer les
1414.64,last five minutes on our,cinq dernières minutes sur notre
1417.84,analysis,"analyse,"
1419.6,so we're gonna use that exact same,donc nous allons utiliser exactement la même
1421.36,surveyor uh toolkit to model our,boîte à outils d'arpenteur pour modéliser nos
1424.64,dependent variables,variables dépendantes
1426.4,um with this,euh avec cette
1428.88,survey glm function which comes from,fonction glm d'enquête qui vient de
1431.6,that survey package,ça  package d'enquête
1435.44,this is similar to the glm function that,ceci est similaire à la fonction glm que la
1438.159,most our users are probably familiar,"plupart de nos utilisateurs connaissent probablement,"
1439.84,with except for that it is able to read,sauf qu'il est capable de lire
1442.32,that survey design information,ces informations de conception d'enquête
1444.559,and create cluster robust,et de créer des
1446.88,standard error estimates using the ea,estimations d'erreur standard robustes en cluster en utilisant les
1449.919,ids that we talked about,"identifiants ea dont nous avons parlé,"
1452.799,so another thing,donc une autre chose
1454.4,that i like to do on the blog is,que j'aime  faire sur le blog est
1456.84,um try not to repeat the same code each,euh essayer de ne pas répéter le même code chaque
1461.2,time i want to run a model in this case,fois que je veux exécuter un modèle dans ce cas
1462.96,i'm going to run a separate model for,je vais exécuter un modèle séparé pour le
1464.32,burkina faso in kenya,burkina faso au kenya
1466.559,i only really want to specify it once so,je veux seulement vraiment sp  ecifiez-le une fois donc
1468.48,i'm going to you know put that code in a,je vais vous savez mettre ce code dans une
1471.679,summarize function,fonction de résumé
1473.76,after we've grouped the data by country,après avoir regroupé les données par pays
1475.84,and this allows us to basically create,et cela nous permet de créer essentiellement
1478.159,you know one model per country in a nice,vous savez un modèle par pays dans un joli
1480.72,little tidy data frame like this so,petit cadre de données bien rangé comme celui-ci donc
1483.52,we're going to be saying,nous allons dire la
1484.96,same survey design,même conception d'enquête
1486.799,and for the for the glm we're going to,"et pour le glm, nous allons"
1488.88,be um,NA
1491.2,working with this this binary version of,travailler avec cette version binaire
1493.919,our of our dependent variable called,de notre variable dépendante appelée
1495.679,adopt so we've we've filtered down to,"adopter, nous avons donc filtré pour"
1498.799,look only at women who were not using a,ne regarder que  les femmes qui n'utilisaient pas de
1501.76,method at phase one,"méthode lors de la première phase,"
1503.44,so if we create adopt as a as a logical,donc si nous créons adopter comme indicateur logique
1506.96,indicator of whether our status is,"de l'adoption de notre statut,"
1509.44,adopted that means,cela signifie que
1511.36,the value in adopt is,la valeur de adopter est
1513.36,true if if a non-user adopted a method,vraie si si un non-utilisateur a adopté une méthode
1517.039,and it's false if because we only have,et c'est faux si parce que nous  il ne reste que des
1519.6,non-users left,non-utilisateurs
1521.36,if that non-user was still not using a,si ce non-utilisateur n'utilisait toujours pas une
1524.24,phase two okay,"phase deux d'accord,"
1525.76,so this is a binary logit model,donc c'est un modèle logit binaire
1530.72,and we're going to be specifying this,et nous allons spécifier cette
1532.6,quasi-binomial family i know this throws,famille quasi-binomiale je sais que cela
1534.64,a lot of people,jette beaucoup de gens
1536,you're probably accustomed to saying,vous êtes  probablement habitué à dire
1537.36,binomial but,binôme mais
1539.039,we use quasi-binomial to basically,nous utilisons quasi-binôme pour basica  supprimez uniquement
1541.6,suppress warnings that r would uh,les avertissements indiquant que r
1544.64,r would issue um for non-integer,émettrait uh r pour des résultats non entiers.
1547.279,outcomes that's what happens when you,NA
1548.72,use a non-integer survey weight like the,NA
1551.44,one we're using in panel weight but,NA
1553.679,otherwise it's the same logic model that,NA
1555.6,you're probably familiar with,familier avec
1557.84,tidy basically creates a standard,tidy crée essentiellement une
1560.64,tidy data frame output we're going to,"sortie de trame de données standard tidy, nous allons"
1562.559,exponentiate our regression coefficients,exposer nos coefficients de régression
1565.6,and i'm also using um,et j'utilise également des outils um
1568.799,g tools to create just some uh stars,g pour créer juste quelques euh étoiles
1572.159,in the table which you'll see in a,dans le tableau que vous verrez dans une
1573.36,second,seconde
1575.84,so you can take that uh summary output,afin que vous puissiez prendre  cette sortie récapitulative
1578.159,and just grab one of you know either the,et prenez simplement l'un d'entre vous connaissant les
1581.279,two countries and unnest it and this is,deux pays et démêlez-le et c'est
1583.679,the,la
1584.4,regression output that we've created for,sortie de régression que nous avons créée pour l'
1587.12,method adoption,adoption de la méthode
1589.36,uh what you can see here because i've,euh ce que vous pouvez voir ici parce que j'ai
1590.96,added these stars,"ajouté ces étoiles,"
1593.76,is that you know we we only found in,c'est que vous savez que nous  nous avons seulement constaté dans
1595.84,this particular analysis that,cette analyse particulière que
1598.559,the,le
1599.279,highest level of concern about becoming,niveau le plus élevé de préoccupation concernant le fait d'être
1601.919,affected with covet 19 was correlated,affecté par la convoitise 19 était corrélé
1604.559,with an increased likelihood of,à une probabilité accrue d'adoption de la
1609.679,method adoption between phases we also,"méthode entre les phases, nous voyons également une"
1612.48,see some significance for the education,certaine importance pour l'éducation
1614.559,and age variables so this is burkina,"a  nd variables d'âge, donc c'est le burkina"
1616.799,faso if we look at kenya none of these,"faso si nous regardons le kenya, aucune de ces"
1619.279,measures are,mesures n'est
1620.96,significant predictors of adoption for,un prédicteur significatif de l'adoption pour les
1622.96,non-users,non-utilisateurs
1625.039,uh the story's a little bit different if,euh l'histoire est un peu différente si
1626.32,we switch to looking at discontinuation,nous passons à l'examen de l'abandon
1629.76,uh in this case you know we're going to,"euh dans ce cas, vous savez que nous allons  pour"
1631.039,filter to women who were using at phase,filtrer les femmes qui utilisaient à la phase
1634.08,one,un
1634.88,and see if they discontinued or they,et voir si elles ont arrêté ou
1636.88,continued using that would be the the,continué à utiliser ce serait l'
1639.279,inverse,inverse
1641.279,uh so again we're just going to use the,euh donc encore une fois nous allons juste utiliser le
1642.72,same code group it by country and then,même groupe de code par pays et ensuite
1644.96,we'll throw our same model specification,nous lancerons notre même  spécification du modèle
1648,into a summary function,dans une fonction récapitulative
1650.88,creating a table like this one,créant un tableau comme celui-ci
1657.76,in this case,"dans ce cas,"
1659.36,we found that neither of the coven 19,nous avons constaté qu'aucune des mesures du coven 19
1661.6,measures were significantly associated,n'était significativement associée
1663.44,with discontinuation,à l'abandon
1665.039,for women who were using a method at,pour les femmes qui utilisaient une méthode à la
1667.039,phase one in burkina faso but in kenya,"phase un au burkina faso mais au kenya,"
1672.399,we see that,nous voyons que
1673.84,generally all of these,généralement tous  de ces
1675.6,levels of concern were correlated with a,niveaux de préoccupation étaient corrélés avec une
1678.24,higher likelihood of,probabilité plus élevée
1680.48,of,d'
1681.6,discontinuation,abandon
1684.72,between phase one and phase two,entre la phase un et la phase deux d'
1688.32,okay so we've got about a minute left um,"accord, il nous reste donc environ une minute"
1691.36,that was,euh c'était
1692.399,very fast uh,très rapide euh
1694,and uh i know it's a probably a lot of,et euh je  sais que c'est probablement beaucoup de fonctions
1697.6,very ipham specific functions uh,très spécifiques à ipham euh
1700.64,but um if you,mais euh
1702.399,if you'd like to see more stuff like,si vous souhaitez voir plus de choses comme
1703.919,this uh please check out that um ipham's,ça euh s'il vous plaît consultez ce blog pma d'ipham
1706.64,pma blog,NA
1708.799,that devin mentioned up at the top,que devin a mentionné en haut
1711.12,um,euh
1712.159,we feature only examples in r on the,nous ne présentons que des exemples dans r  sur le
1714.48,blog at this point um so we'll be using,blog à ce stade euh donc nous
1716.96,the exact same workflow that you saw in,utiliserons exactement le même flux de travail que vous avez vu dans
1718.96,this presentation uh the iphone's r,cette présentation euh le
1721.279,documentation website is also extremely,site Web de documentation r de l'iphone est également extrêmement
1723.36,useful for understanding um you know,utile pour comprendre euh vous savez
1725.52,what kinds of specific functions are,quels types de fonctions spécifiques sont
1727.2,available,disponibles
1728.64,uh for working with iphone's data and,euh pour travailler avec l'iphone  data et
1730.159,then there's also an iphone's tutorials,puis il y a aussi une page de tutos iphone
1732.399,page,NA
1734.64,where you'll find all kinds of,où tu trouveras toutes sortes de
1738.799,guides in every language r stata spss,guides dans toutes les langues r stata spss
1742.24,and and so on so,et ainsi de suite
1744,um thank you all very much it's been a,euh merci beaucoup à tous ça fait
1746.159,half an hour uh,une demi-heure euh
1748.96,yep laura says we are returning to,ouais laura dit qu'on retourne en
1750.799,plenary so,plénière  alors
1752.96,thank you,merci toi
1822.399,you,NA
